time,pos_actual_yaw,vel_actual_yaw,accel_control_yaw,pos_goal_yaw,vel_goal_yaw,pos_predicted_yaw,vel_predicted_yaw,iterations_yaw,pos_actual_pitch,vel_actual_pitch,accel_control_pitch,pos_goal_pitch,vel_goal_pitch,pos_predicted_pitch,vel_predicted_pitch,iterations_pitch,shoot_flag,solve_time_ms
0.14,-0.492,-3.6,60,-0.616848,2.19998,-0.533962,-1.99492,10,-0.0134558,-1.23115,17.1284,-0.0388788,-0.00411946,-0.0299961,-0.974222,10,0,0.073
0.145,-0.50925,-3.3,60,-0.607334,2.28178,-0.546701,-1.6935,10,-0.0193974,-1.14551,24.4385,-0.039235,-0.00428463,-0.0338307,-0.778929,10,0,0.117
0.15,-0.525,-3,60,-0.597589,2.35783,-0.558487,-1.46488,10,-0.0248195,-1.02331,28.2615,-0.0395557,-0.00445108,-0.0369897,-0.599392,10,0,0.074
0.155,-0.53925,-2.7,60,-0.587629,2.42802,-0.569026,-1.27014,10,-0.0295828,-0.882006,29.4547,-0.0398381,-0.00461878,-0.0394992,-0.440186,10,0,0.074
0.16,-0.552,-2.4,60,-0.577472,2.49226,-0.577648,-1.0197,10,-0.0336246,-0.734733,28.7591,-0.0400797,-0.00478776,-0.0414102,-0.303347,10,0,0.074
0.165,-0.56325,-2.1,60,-0.567136,2.55046,-0.585715,-0.895276,10,-0.0369388,-0.590937,23.2944,-0.0402781,-0.00495801,-0.0431822,-0.241521,10,0,0.074
0.17,-0.573,-1.8,60,-0.556639,2.60252,-0.591161,-0.621404,10,-0.0396023,-0.474465,21.8528,-0.0404311,-0.00512952,-0.0442608,-0.146673,10,0,0.074
0.175,-0.58125,-1.5,60,-0.545996,2.64838,-0.595092,-0.345573,10,-0.0417015,-0.365201,19.7562,-0.0405367,-0.0053023,-0.0449569,-0.0688585,10,0,0.073
0.18,-0.588,-1.2,60,-0.535226,2.68798,-0.597647,-0.0862302,10,-0.0432805,-0.26642,17.321,-0.0405932,-0.00547636,-0.0453282,-0.00660473,10,0,0.074
0.185,-0.59325,-0.9,60,-0.524345,2.72125,-0.60132,-0.17605,10,-0.0443961,-0.179815,11.5341,-0.0405991,-0.00565168,-0.0457957,-0.00680387,10,1,0.074
0.19,-0.597,-0.6,60,-0.513369,2.74815,-0.600829,0.0894257,10,-0.045151,-0.122145,10.2723,-0.0405533,-0.00582827,-0.0458275,0.0319403,10,1,0.073
0.195,-0.59925,-0.3,60,-0.502316,2.76864,-0.598909,0.345457,10,-0.0456333,-0.070783,8.93705,-0.0404548,-0.00600614,-0.0456896,0.0632727,10,1,0.072
0.2,-0.6,-3.33067e-16,60,-0.491202,2.78267,-0.599691,0.0412429,10,-0.0458755,-0.0260978,7.73127,-0.0403032,-0.00618527,-0.0453972,0.0898713,10,1,0.074
0.205,-0.59925,0.3,60,-0.480043,2.79023,-0.594326,0.356562,10,-0.0459094,0.0125586,6.46286,-0.0400983,-0.00636567,-0.0449939,0.109501,9,1,0.072
0.21,-0.597,0.6,60,-0.468856,2.79129,-0.587482,0.669118,10,-0.0457658,0.0448728,5.32243,-0.0398403,-0.00654733,-0.0444939,0.124709,10,1,0.094
0.215,-0.59325,0.9,60,-0.457658,2.78584,-0.584331,0.289169,10,-0.0454749,0.071485,17.9411,-0.0395296,-0.00673026,-0.0423842,0.340602,10,1,0.125
0.22,-0.588,1.2,60,-0.446465,2.77387,-0.573477,0.736383,10,-0.0448932,0.161191,12.0721,-0.0391671,-0.00691446,-0.0411172,0.342272,10,1,0.145
0.225,-0.58125,1.5,60,-0.435294,2.75538,-0.560142,1.31436,10,-0.0439363,0.221551,7.41323,-0.0387539,-0.00709992,-0.0397791,0.332749,10,1,0.072
0.23,-0.573,1.8,60,-0.424162,2.73038,-0.552012,0.998438,10,-0.0427359,0.258617,44.4862,-0.0382915,-0.00728664,-0.033852,0.925911,10,1,0.072
0.235,-0.56325,2.1,60,-0.413085,2.69888,-0.529799,2.3601,10,-0.0408868,0.481048,26.8658,-0.0377817,-0.00747462,-0.0306486,0.884036,10,1,0.072
0.24,-0.552,2.4,-7.02829,-0.402081,2.66092,-0.516791,2.29458,10,-0.0381457,0.615378,13.2076,-0.0372265,-0.00766386,-0.0274292,0.813492,10,1,0.072
0.245,-0.540088,2.36486,-60,-0.391167,2.61651,-0.514001,1.11344,10,-0.0349037,0.681416,70.405,-0.0366282,-0.00785435,-0.0167619,1.73749,10,1,0.072
0.25,-0.529014,2.06486,-60,-0.380361,2.56569,-0.50494,1.14501,10,-0.0306166,1.03344,38.4196,-0.0359894,-0.0080461,-0.0107928,1.60974,10,1,0.072
0.255,-0.519439,1.76486,-60,-0.369679,2.50851,-0.498542,1.02148,10,-0.0249691,1.22554,14.1094,-0.0353126,-0.0082391,-0.00499873,1.43718,10,1,0.103
0.26,-0.511365,1.46486,-60,-0.359142,2.44503,-0.496353,0.536793,10,-0.0186651,1.29609,35.1158,-0.0346007,-0.00843335,0.00472676,1.82282,10,0,0.072
0.265,-0.504791,1.16486,-60,-0.348714,1.88432,-0.493686,0.315757,10,-0.0117457,1.47167,8.90209,-0.0338545,0.0238927,0.0113308,1.6052,10,0,0.073
0.27,-0.499716,0.864859,-60,-0.33852,1.82867,-0.492588,0.0856049,10,-0.00427608,1.51618,-9.77923,-0.0330812,0.0238225,0.0173664,1.36949,10,0,0.072
0.275,-0.496142,0.564859,-11.0959,-0.585794,1.69145,-0.488918,0.398421,10,0.00318256,1.46728,-22.1815,0.0368494,0.0237509,0.0226963,1.13456,10,0,0.072
0.28,-0.493457,0.509379,11.7698,-0.573799,1.75064,-0.484492,0.685927,10,0.0102417,1.35637,-29.5395,0.0372611,0.0236781,0.0272641,0.913279,10,0,0.129
0.285,-0.490762,0.568228,25.0853,-0.561534,1.80579,-0.479417,0.944507,10,0.0166543,1.20867,-32.9914,0.0376858,0.0236039,0.0310729,0.713804,10,0,0.138
0.29,-0.487608,0.693655,42.0061,-0.54902,1.85684,-0.472477,1.32375,10,0.0222853,1.04372,-33.5449,0.0381219,0.0235285,0.0341672,0.540544,10,0,0.098
0.295,-0.483614,0.903685,46.0867,-0.536278,1.90373,-0.464874,1.59498,10,0.0270846,0.875993,-32.0609,0.0385677,0.0234517,0.0366176,0.39508,10,0,0.072
0.3,-0.47852,1.13412,46.405,-0.523328,1.94643,-0.456288,1.83019,10,0.0310638,0.715689,-29.2503,0.0390213,0.0233735,0.0385084,0.276934,10,0,0.152
0.305,-0.472269,1.36614,60,-0.510191,1.98488,-0.44501,2.26838,10,0.0342766,0.569437,-21.9988,0.0394808,0.023294,0.0403433,0.239455,10,0,0.152
0.31,-0.464689,1.66614,55.6192,-0.496885,2.01906,-0.433439,2.50043,10,0.0368488,0.459443,-19.4075,0.0399439,0.0232132,0.0415571,0.168331,10,0,0.294
0.315,-0.455663,1.94424,48.2133,-0.48343,2.04892,-0.421075,2.66744,10,0.0389034,0.362406,-16.5485,0.0404085,0.0231311,0.0424778,0.114178,10,0,0.202
0.32,-0.445339,2.18531,27.4261,-0.469844,2.07443,-0.409474,2.5967,10,0.0405086,0.279663,-10.2265,0.0408724,0.0230475,0.043553,0.126266,10,1,0.263
0.325,-0.434069,2.32244,18.7507,-0.456145,2.09558,-0.397123,2.6037,10,0.0417791,0.228531,-8.7121,0.0413335,0.0229626,0.0442269,0.0978493,10,1,0.257
